SrNo,District_Name,Taluka_Name,Taluka_Latitude,Taluka_Longitude,Month,Year,Soil_Type,Soil_pH,Soil_EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Soil_Moisture,Soil_Depth_Class,Avg_Temperature,Min_Temperature,Max_Temperature,Rainfall_mm,Humidity_percent,Wind_Speed_kmph,Solar_Radiation,Evapotranspiration,Cloud_Cover_percent,Crop_Recommended,Crop_Suitability,Crop_Yield_Quintal_per_Hectare
1,BOTAD,Gadhada,21.9682625,71.5769241,1,2015,Black Cotton,6.94,0.93,1.35,348.0,54.1,106.5,20.1,Shallow,15.1,8.9,20.7,1.8,38.6,21.0,513.4,6.34,54.7,Wheat,Yes,26.86
2,VALSAD,Umbergaon,20.1537655,72.7905804,2,2015,Silty,6.08,3.4,1.13,409.4,45.1,398.5,43.8,Medium,14.9,11.7,18.7,1.4,31.5,28.7,983.7,6.92,60.9,Chickpea,Yes,12.64
3,TAPI,Kukarmunda,21.5470826,74.1262241,12,2018,Black Cotton,7.57,2.46,0.39,372.7,14.0,296.6,44.5,Deep,14.3,7.4,16.6,10.0,47.1,19.9,307.9,6.52,43.9,Chickpea,Yes,13.65
4,SURAT,MAHUVA,21.0180294,73.1388718,4,2016,Black Cotton,7.3,1.09,1.09,452.0,27.0,192.6,44.9,Deep,39.6,33.5,42.4,14.4,43.4,19.1,808.9,4.27,24.2,Bajra,Yes,13.99
5,VADODARA,Vaghodia,22.3003935,73.3760638,2,2019,Silty,6.89,1.84,1.72,441.7,19.5,375.4,9.7,Shallow,15.9,9.3,18.7,15.1,42.3,32.9,746.3,1.92,29.1,Chickpea,Yes,10.92
6,ANAND,Khambhat,22.3166806,72.6243126,2,2023,Loam,6.93,3.27,1.76,280.4,11.9,478.8,42.7,Shallow,25.1,18.7,29.8,4.3,34.5,16.4,1193.2,5.23,34.3,Jowar,Yes,12.81
7,BHAVNAGAR,Vallabhipur,21.8885909,71.8781618,1,2017,Loam,7.42,0.28,0.21,61.21940425760746,23.2,384.2,14.0,Medium,13.6,6.9,18.0,4.6,46.6,12.0,339.8,4.14,33.5,Mustard,No,9.67248273611326
8,SURAT,Palsana,21.0859408,72.978046,2,2019,Loam,6.11,2.17,0.34,116.2,30.4,618.4,5.2,Deep,22.6,16.1,25.1,1.7,34.9,19.8,706.4,6.31,64.0,Jowar,Yes,12.832885491195064
9,SURAT,MAHUVA,21.0180294,73.1388718,11,2022,Black Cotton,7.06,0.8,0.47,57.5,45.5,89.6,15.5,Shallow,20.1,17.6,26.9,11.3,34.8,26.5,885.8,3.12,15.1,Wheat,Yes,22.66
10,KACHCHH,Mandvi,22.8314482,69.35081,6,2022,Silty,6.15,2.88,0.51,216.0,41.9,245.0,15.6,Shallow,31.2,26.2,35.9,125.5,45.2,17.3,252.6,2.59,48.6,Sesame,Yes,3.55
11,KHEDA,Matar,22.7073839,72.6623162,5,2022,Black Cotton,7.11,3.52,0.55,448.2,45.8,151.0,14.1,Shallow,31.6,24.2,36.0,19.4,48.9,8.8,642.7,3.28,9.1,Bajra,Yes,13.09
12,PATAN,Chanasma,23.7150529,72.1150247,2,2014,Loam,7.3,2.78,0.35,74.86301038243201,25.3,409.1,20.5,Shallow,23.5,20.2,30.0,6.1,35.6,9.0,988.1,6.39,32.6,Urad (Black Gram),No,5.888424162354477
13,KHEDA,Galteshwar,22.8686619,73.3084119,1,2020,Loam,7.4,1.36,1.68,407.1,52.5,577.0,13.5,Deep,25.0,20.2,31.1,2.1,36.3,33.5,465.2,2.11,18.0,Jowar,Yes,14.5
14,SURAT,Olpad,21.3360054,72.7516479,6,2022,Loam,6.13,3.88,0.4,482.4,19.6,120.5,20.7,Deep,29.6,26.5,36.1,599.3,90.8,20.8,444.3,3.03,100.0,Cotton,Yes,14.72
15,VALSAD,Kaprada,20.3445867,73.2166457,6,2023,Black Cotton,8.21,2.89,0.61,175.4,27.5,311.6,14.7,Shallow,29.6,24.2,32.5,178.1,55.9,34.8,449.6,2.16,91.7,Moong (Green Gram),No,5.193926513919431
16,KACHCHH,Rapar,23.570746,70.6450466,11,2016,Loam,6.41,2.67,1.15,73.9,57.4,202.7,15.3,Shallow,12.3,7.6,18.1,3.4,48.1,25.3,930.7,3.9,31.7,Mustard,Yes,12.64
17,BOTAD,Botad,22.1686,71.6685,3,2017,Black Cotton,7.16,0.25,0.52,428.7,30.1,570.9,30.7,Deep,41.0,36.0,46.6,18.8,48.5,24.5,1092.9,5.63,39.6,Jowar,Yes,14.212870760120431
18,BANASKANTHA,Suigam,24.1515492,71.3593406,8,2018,Loam,7.13,0.98,0.67,449.7,9.4,148.0,18.5,Shallow,25.4,22.2,29.5,459.2,84.3,36.9,575.3,3.18,100.0,Castor,Yes,11.55
19,BHARUCH,Vagra,21.8447606,72.8448749,9,2020,Black Cotton,7.85,3.21,1.63,259.5,20.0,365.7,18.7,Deep,28.3,22.6,30.9,363.4,66.9,19.4,604.5,0.5,100.0,Castor,Yes,12.04
20,SURENDRANAGAR,Chotila,22.4243903,71.1992399,5,2020,Silty,6.31,0.37,0.13,283.5,60.0,277.5,30.0,Deep,27.4,24.0,32.5,1.0,39.6,9.2,1149.9,4.33,21.9,Bajra,Yes,11.14
21,SABARKANTHA,Vadali,23.9411124,73.0403755,2,2018,Silty,6.45,1.28,1.25,480.3,26.8,514.8,5.3,Deep,16.0,9.2,21.4,14.9,47.4,25.4,281.6,4.59,51.0,Wheat,Yes,27.75
22,KACHCHH,Gandhidham,23.0718743,70.131715,11,2019,Silty,7.34,1.77,1.35,483.8,19.9,575.3,25.1,Medium,24.1,16.5,27.3,9.4,36.5,20.8,958.2,4.8,50.3,Jowar,Yes,15.12
23,AHMADABAD,Daskroi,22.9538235,72.7502756,10,2018,Black Cotton,8.32,2.25,0.98,119.8,18.3,314.2,25.9,Shallow,28.3,25.0,30.8,48.8,48.7,16.3,778.1,4.13,49.3,Bajra,No,10.25886345768427
24,KACHCHH,Mundra,22.8393153,69.7249477,12,2015,Sandy,6.51,2.98,1.72,354.4,15.5,530.1,13.9,Deep,20.5,17.1,23.5,17.7,35.4,5.6,748.6,3.28,71.9,Chickpea,Yes,17.12
25,SURENDRANAGAR,Dasada,23.3238913,71.831442,5,2023,Silty,7.03,1.4,1.74,148.7,52.4,124.2,4.8,Medium,37.9,34.1,42.7,1.6,50.0,9.5,975.4,5.02,56.7,Bajra,Yes,15.34
26,BHARUCH,Jhagadia,21.7157199,73.1497026,10,2018,Black Cotton,6.98,3.84,0.27,388.5,39.4,222.0,5.5,Shallow,24.7,21.0,29.7,13.9,36.0,30.4,910.9,4.2,52.5,Wheat,Yes,25.83
27,JUNAGADH,Vanthali,21.4772602,70.3321207,4,2022,Black Cotton,6.73,1.1,0.34,58.0,48.6,436.8,37.4,Medium,34.9,29.7,38.3,11.7,39.9,26.0,1089.1,5.61,46.6,Jowar,Yes,16.32
28,VADODARA,Sinor,21.9111503,73.3384024,10,2018,Loam,6.89,0.74,0.98,237.8,20.3,698.0,20.7,Medium,28.3,25.3,30.8,60.7,44.3,23.0,849.1,3.7,66.6,Sesame,No,4.965958387380715
29,KHEDA,Kheda,22.7516133,72.6857205,11,2014,Black Cotton,6.98,0.26,0.98,322.6,32.4,337.3,4.2,Medium,24.4,16.6,27.0,9.0,43.1,13.9,396.0,4.71,42.7,Wheat,Yes,31.65
30,JUNAGADH,Vanthali,21.4772602,70.3321207,12,2021,Silty,7.13,1.13,1.52,490.7,18.4,408.3,18.5,Deep,25.0,20.5,31.0,11.3,49.8,22.8,1023.9,3.35,26.7,Jowar,Yes,11.75
31,SURAT,MAHUVA,21.0180294,73.1388718,9,2022,Silty,6.96,1.32,0.42,357.8,36.4,201.8,35.3,Shallow,29.1,22.3,36.0,301.8,73.2,10.9,1015.7,1.12,100.0,Rice,Yes,20.18
32,BHAVNAGAR,Gariadhar,21.5385705,71.5792958,7,2016,Black Cotton,8.38,0.35,1.43,154.6,39.3,308.4,5.5,Medium,32.4,25.8,38.0,527.0,95.0,6.6,51.5,2.53,100.0,Castor,No,10.334539225720404
33,NARMADA,Garudeshwar,21.8898443,73.6551011,3,2021,Black Cotton,6.85,0.16,0.65,56.4,24.7,329.9,12.5,Medium,40.4,34.7,46.8,11.3,35.9,37.7,380.3,4.25,23.8,Urad (Black Gram),No,6.250376798177028
34,SABARKANTHA,Poshina,24.3731337,73.0324745,6,2021,Silty,6.46,3.85,1.27,244.7,21.6,699.6,38.7,Shallow,28.1,20.2,31.6,218.7,65.0,15.2,678.3,4.34,97.1,Moong (Green Gram),No,4.545994031113337
35,SABARKANTHA,Prantij,23.4372086,72.8518061,6,2023,Loam,6.99,2.5,1.25,368.8,41.3,594.9,29.0,Deep,27.2,24.7,32.9,400.4,75.9,31.7,216.7,0.66,100.0,Castor,Yes,11.1
36,VALSAD,Valsad,20.6067767,72.9272881,5,2021,Black Cotton,8.29,3.23,0.9,65.4,46.5,196.6,31.1,Deep,41.9,39.8,47.9,28.1,43.5,21.5,875.1,5.22,48.6,Bajra,No,10.708489293816998
37,SURAT,Madvi,21.21105087919355,73.02497339854838,6,2022,Black Cotton,6.81,0.3,1.5,457.4,21.6,315.4,8.0,Shallow,27.8,23.1,30.5,322.9,75.7,80.0,987.2,2.49,100.0,Castor,Yes,13.22
38,MAHESANA,Jotana,23.4711736,72.2927648,12,2014,Silty,6.2,1.81,0.5,200.5,59.0,288.8,40.8,Deep,18.7,14.0,24.9,5.3,43.8,27.9,814.6,2.08,57.2,Wheat,Yes,22.88
39,JUNAGADH,Keshod,21.3148629,70.2678937,4,2017,Silty,6.94,3.17,1.11,160.3,59.1,691.9,25.2,Shallow,40.6,35.1,46.5,2.7,30.6,14.3,369.1,4.09,12.9,Bajra,No,14.074538584188224
