SrNo,District Name,Taluka Name
1,AHMADABAD,Detroj-Rampura
2,AHMADABAD,Bavla
4,AHMADABAD,Dhandhuka
5,AHMADABAD,Dholka
7,AHMADABAD,Sanand
10,AHMADABAD,Viramgam
13,AHMADABAD,Daskroi
14,AHMADABAD,Dholera
40,AHMADABAD,Mandal
467,AMRELI,Savar
468,AMRELI,Dhari
470,AMRELI,Jafrabad
471,AMRELI,Lilia
473,AMRELI,Amreli
486,AMRELI,Babra
499,AMRELI,Bagasara
540,AMRELI,Kunkavav
552,AMRELI,Lathi
557,AMRELI,Khambha
568,AMRELI,Rajula
1065,ANAND,Anand
1066,ANAND,Tarapur
1067,ANAND,Petlad
1068,ANAND,Umreth
1070,ANAND,Borsad
1072,ANAND,Anklav
1078,ANAND,Sojitra
1276,ANAND,Khambhat
1417,ARAVALLI,Bhiloda
1418,ARAVALLI,Dhansura
1420,ARAVALLI,Bayad
1421,ARAVALLI,Meghraj
1448,ARAVALLI,Malpur
1456,ARAVALLI,Modasa
1738,BANASKANTHA,Palanpur
1739,BANASKANTHA,Deesa
1740,BANASKANTHA,Kankrej
1743,BANASKANTHA,Dhanera
1744,BANASKANTHA,Lakhani
1745,BANASKANTHA,Dantiwada
1747,BANASKANTHA,Vav
1748,BANASKANTHA,Tharad
1750,BANASKANTHA,Vadgam
1751,BANASKANTHA,Danta
1753,BANASKANTHA,Suigam
1763,BANASKANTHA,Bhabhar
1780,BANASKANTHA,Deodar
1816,BANASKANTHA,Amirgadh
2617,BHARUCH,Netrang
2618,BHARUCH,Jhagadia
2619,BHARUCH,Hansot
2623,BHARUCH,Amod
2629,BHARUCH,Anklesvar
2640,BHARUCH,Bharuch
2671,BHARUCH,Jambusar
2696,BHARUCH,Vagra
2709,BHARUCH,Valia
3162,BHAVNAGAR,Mahuva
3164,BHAVNAGAR,Gariadhar
3165,BHAVNAGAR,Sihor
3168,BHAVNAGAR,Jesar
3169,BHAVNAGAR,Palitana
3171,BHAVNAGAR,Umrala
3178,BHAVNAGAR,Bhavnagar
3184,BHAVNAGAR,Talaja
3188,BHAVNAGAR,Ghogha
3218,BHAVNAGAR,Vallabhipur
3823,BOTAD,Botad
3829,BOTAD,Ranpur
3841,BOTAD,Gadhada
3863,BOTAD,Barwala
4004,CHHOTA,UDEPUR
4346,DAHOD,Fatepura
4347,DAHOD,Dhanpur
4350,DAHOD,Jhalod
4353,DAHOD,Devgadbaria
4356,DAHOD,Limkheda
4367,DAHOD,Garbada
4370,DAHOD,DAHOD
4434,DAHOD,Singvad
4450,DAHOD,Sanjeli
4893,DANGS,Subir
4894,DANGS,Ahwa
4895,DANGS,Vagai
4963,DEVBHUMI,DWARKA
5202,GANDHINAGAR,Gandhinagar
5203,GANDHINAGAR,Dehgam
5205,GANDHINAGAR,Kalol
5208,GANDHINAGAR,Mansa
5505,GIR,SOMNATH
5834,JAMNAGAR,Jodiya
5835,JAMNAGAR,Jamnagar
5836,JAMNAGAR,Dhrol
5840,JAMNAGAR,Kalavad
5843,JAMNAGAR,Jamjodhpur
5852,JAMNAGAR,Lalpur
6251,JUNAGADH,Mangrol
6252,JUNAGADH,Bhesan
6260,JUNAGADH,Junagadh
6277,JUNAGADH,Keshod
6287,JUNAGADH,Malia
6305,JUNAGADH,Manavadar
6333,JUNAGADH,Mendarda
6349,JUNAGADH,Vanthali
6356,JUNAGADH,Visavadar
6742,KACHCHH,Abdasa
6743,KACHCHH,Rapar
6744,KACHCHH,Bhuj
6746,KACHCHH,Mundra
6747,KACHCHH,LAKHPAT
6748,KACHCHH,Mandvi
6750,KACHCHH,Bhachau
6765,KACHCHH,Nakhatrana
6767,KACHCHH,Gandhidham
6799,KACHCHH,Anjar
7373,KHEDA,Kathlal
7374,KHEDA,Nadiad
7376,KHEDA,Kheda
7377,KHEDA,Kapadvanj
7379,KHEDA,Mahudha
7380,KHEDA,Galteshwar
7432,KHEDA,Matar
7443,KHEDA,Mehmedabad
7470,KHEDA,Thasra
7480,KHEDA,Vaso
7893,MAHESANA,Jotana
7894,MAHESANA,Vadnagar
7895,MAHESANA,Vijapur
7896,MAHESANA,Kheralu
7901,MAHESANA,Kadi
7902,MAHESANA,Becharaji
7906,MAHESANA,Unjha
7907,MAHESANA,Mahesana
7933,MAHESANA,Satlasana
7943,MAHESANA,Visnagar
8503,MAHISAGAR,Lunawada
8504,MAHISAGAR,Khanpur
8507,MAHISAGAR,Santrampur
8519,MAHISAGAR,Balasinor
8527,MAHISAGAR,Kadana
8540,MAHISAGAR,Virpur
8858,MORBI,Halvad
8859,MORBI,Morvi
8861,MORBI,Wankaner
8865,MORBI,Tankara
8882,MORBI,MALIYA
9208,NARMADA,Nandod
9220,NARMADA,Sagbara
9222,NARMADA,Tilakwada
9223,NARMADA,Garudeshwar
9226,NARMADA,Dediapada
9430,NAVSARI,Jalalpore
9431,NAVSARI,Vansada
9432,NAVSARI,Gandevi
9439,NAVSARI,Khergam
9440,NAVSARI,Chikhli
9448,NAVSARI,Navsari
9798,PANCHMAHALS,Godhra
9799,PANCHMAHALS,Morwa
9800,PANCHMAHALS,Jambughoda
9801,PANCHMAHALS,Ghoghamba
9802,PANCHMAHALS,KALOL
9810,PANCHMAHALS,Shehera
9812,PANCHMAHALS,Halol
10285,PATAN,Patan
10286,PATAN,Radhanpur
10287,PATAN,Chanasma
10289,PATAN,Saraswati
10290,PATAN,Sankheshwar
10292,PATAN,Harij
10297,PATAN,Sami
10302,PATAN,Sidhpur
10319,PATAN,Santalpur
10760,PORBANDAR,Kutiyana
10761,PORBANDAR,Ranavav
10763,PORBANDAR,Porbandar
10909,RAJKOT,Paddhari
10912,RAJKOT,VINCHHIYA
10914,RAJKOT,Jetpur
10916,RAJKOT,Rajkot
10919,RAJKOT,Jamkandorna
10922,RAJKOT,Upleta
10932,RAJKOT,Lodhika
10934,RAJKOT,Jasdan
10938,RAJKOT,Kotda
10942,RAJKOT,Gondal
10964,RAJKOT,Dhoraji
11501,SABARKANTHA,Khedbrahma
11503,SABARKANTHA,Vijaynagar
11507,SABARKANTHA,Himatnagar
11510,SABARKANTHA,Vadali
11512,SABARKANTHA,Idar
11514,SABARKANTHA,Talod
11516,SABARKANTHA,Prantij
11542,SABARKANTHA,Poshina
11960,SURAT,Bardoli
11962,SURAT,Chorasi
11963,SURAT,Olpad
11966,SURAT,Kamrej
11982,SURAT,Palsana
11983,SURAT,Umarpada
11992,SURAT,MAHUVA
11993,SURAT,Madvi
12532,SURENDRANAGAR,Dasada
12533,SURENDRANAGAR,Muli
12534,SURENDRANAGAR,Sayla
12538,SURENDRANAGAR,Dhrangadhra
12541,SURENDRANAGAR,Chotila
12550,SURENDRANAGAR,Chuda
12566,SURENDRANAGAR,Lakhtar
12569,SURENDRANAGAR,Limbdi
12580,SURENDRANAGAR,Wadhwan
12590,SURENDRANAGAR,Thangadh
13075,TAPI,Songadh
13076,TAPI,Vyara
13078,TAPI,Kukarmunda
13099,TAPI,Nizar
13101,TAPI,Uchchhal
13104,TAPI,Valod
13112,TAPI,Dolvan
13366,VADODARA,Vadodara
13367,VADODARA,Desar
13369,VADODARA,Dabhoi
13374,VADODARA,Karajan
13376,VADODARA,Savli
13381,VADODARA,Sinor
13394,VADODARA,Vaghodia
13405,VADODARA,Padra
13909,VALSAD,Kaprada
